수집일,템플릿ID,이름,썸네일날짜,카테고리,검색키워드,순위,페이지수,프리미엄,폭,높이,노출횟수,썸네일URL,노출후보플래그,신호라벨,신뢰도,판정규칙버전
2026-08-03,krjd9yy8u581602s,파랑 깔끔 입찰 제안서 안내,2026-07-30,/ko/templates,,,20,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/30/21/30/krjd9yy8u581602s/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kshe56v44tqw3hj1,파란색 깔끔 여름 휴가 안내,2026-07-30,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/30/09/30/kshe56v44tqw3hj1/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k3h2l407ahq810si,파랑 깔끔 개발자 커리어 모집 안내,2026-07-29,/ko/templates,,,14,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/29/17/30/k3h2l407ahq810si/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kmfkvr1qdg6zqxl6,파란색 사이버 프로그래밍 교육 안내,2026-07-28,/ko/templates,,,15,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/28/17/30/kmfkvr1qdg6zqxl6/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,ky8bzq3x92uad5ra,파랑 깔끔 채용설명회 안내,2026-07-28,/ko/templates,,,20,O,,,1,https://file.miricanvas.com/template_json_thumb/2026/07/28/17/30/ky8bzq3x92uad5ra/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kh4qsxb52v3ig2yg,보라 심플 AI 데이터 교육 안내,2026-07-27,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/27/16/30/kh4qsxb52v3ig2yg/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kvx8xje4zuiycdpq,하늘색 깔끔 공공기관 AI보안 수칙 안내,2026-07-26,/ko/templates,,,6,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/26/19/20/kvx8xje4zuiycdpq/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kqhp3h3cxox5ivn5,노랑 심플 학교 일정 안내,2026-07-24,/ko/templates,,,,O,400,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/17/30/kqhp3h3cxox5ivn5/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,kjcbvk81z2ukq10j,파랑 깔끔 여름 오피스 라이프 안내,2026-07-24,/ko/templates,,,20,O,400,225,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/16/30/kjcbvk81z2ukq10j/json_thumb.webp,X,목록관측,낮음,1.0
2026-08-03,k1538isqrtmxepl2,보라 깔끔 기업협업 프로젝트 홍보,2026-07-24,/ko/templates,,,,O,283,400,1,https://file.miricanvas.com/template_json_thumb/2026/07/24/16/30/k1538isqrtmxepl2/json_thumb.webp,X,목록관측,낮음,1.0
